date_key,full_date,year,month,quarter,week,day_name,is_weekend
20171228,2017-12-28,2017,12,4,52,Thursday,false
20170615,2017-06-15,2017,6,2,24,Thursday,false
20170806,2017-08-06,2017,8,3,31,Sunday,true
20170222,2017-02-22,2017,2,1,8,Wednesday,false
20171007,2017-10-07,2017,10,4,40,Saturday,true
20170513,2017-05-13,2017,5,2,19,Saturday,true
20161004,2016-10-04,2016,10,4,40,Tuesday,false
20170407,2017-04-07,2017,4,2,14,Friday,false
20170227,2017-02-27,2017,2,1,9,Monday,false
20170819,2017-08-19,2017,8,3,33,Saturday,true
20180818,2018-08-18,2018,8,3,33,Saturday,true
20170417,2017-04-17,2017,4,2,16,Monday,false
20180710,2018-07-10,2018,7,3,28,Tuesday,false
20170205,2017-02-05,2017,2,1,5,Sunday,true
20170116,2017-01-16,2017,1,1,3,Monday,false
20171010,2017-10-10,2017,10,4,41,Tuesday,false
20161010,2016-10-10,2016,10,4,41,Monday,false
20161006,2016-10-06,2016,10,4,40,Thursday,false
20170120,2017-01-20,2017,1,1,3,Friday,false
20170111,2017-01-11,2017,1,1,2,Wednesday,false
20180729,2018-07-29,2018,7,3,30,Sunday,true
20180221,2018-02-21,2018,2,1,8,Wednesday,false
20180413,2018-04-13,2018,4,2,15,Friday,false
20180227,2018-02-27,2018,2,1,9,Tuesday,false
20180514,2018-05-14,2018,5,2,20,Monday,false
20180723,2018-07-23,2018,7,3,30,Monday,false
20180329,2018-03-29,2018,3,1,13,Thursday,false
20170604,2017-06-04,2017,6,2,22,Sunday,true
20180712,2018-07-12,2018,7,3,28,Thursday,false
20171113,2017-11-13,2017,11,4,46,Monday,false
20180401,2018-04-01,2018,4,2,13,Sunday,true
20171109,2017-11-09,2017,11,4,45,Thursday,false
20180126,2018-01-26,2018,1,1,4,Friday,false
20170914,2017-09-14,2017,9,3,37,Thursday,false
20170712,2017-07-12,2017,7,3,28,Wednesday,false
20180106,2018-01-06,2018,1,1,1,Saturday,true
20170916,2017-09-16,2017,9,3,37,Saturday,true
20180324,2018-03-24,2018,3,1,12,Saturday,true
20171027,2017-10-27,2017,10,4,43,Friday,false
20180528,2018-05-28,2018,5,2,22,Monday,false
20170726,2017-07-26,2017,7,3,30,Wednesday,false
20170822,2017-08-22,2017,8,3,34,Tuesday,false
20170202,2017-02-02,2017,2,1,5,Thursday,false
20170618,2017-06-18,2017,6,2,24,Sunday,true
20170326,2017-03-26,2017,3,1,12,Sunday,true
20170318,2017-03-18,2017,3,1,11,Saturday,true
20170201,2017-02-01,2017,2,1,5,Wednesday,false
20170707,2017-07-07,2017,7,3,27,Friday,false
20180808,2018-08-08,2018,8,3,32,Wednesday,false
20170516,2017-05-16,2017,5,2,20,Tuesday,false
20180102,2018-01-02,2018,1,1,1,Tuesday,false
20180309,2018-03-09,2018,3,1,10,Friday,false
20180210,2018-02-10,2018,2,1,6,Saturday,true
20180511,2018-05-11,2018,5,2,19,Friday,false
20180820,2018-08-20,2018,8,3,34,Monday,false
20180130,2018-01-30,2018,1,1,5,Tuesday,false
20180113,2018-01-13,2018,1,1,2,Saturday,true
20180801,2018-08-01,2018,8,3,31,Wednesday,false
20170702,2017-07-02,2017,7,3,26,Sunday,true
20180327,2018-03-27,2018,3,1,13,Tuesday,false
20180802,2018-08-02,2018,8,3,31,Thursday,false
20180824,2018-08-24,2018,8,3,34,Friday,false
20171216,2017-12-16,2017,12,4,50,Saturday,true
20170805,2017-08-05,2017,8,3,31,Saturday,true
20180402,2018-04-02,2018,4,2,14,Monday,false
